"","userID","itemID","rating","age","time","daytype","season","weather","social","endEmo","dominantEmo","mood","Count"
"1992",31,4280,2,30,3,2,4,1,1,2,7,1,154
"671",25,16,2,27,2,2,4,2,1,2,7,1,94
"2130",61,4297,4,28,3,3,1,5,7,7,2,1,83
"624",35,3655,3,30,3,2,4,5,1,7,7,2,95
"410",96,3525,5,15,3,1,1,3,1,2,2,1,30
"1336",59,3998,4,27,3,1,1,1,1,2,2,1,17
"1808",241,1886,1,20,3,1,4,1,2,7,7,2,20
"1148",25,3910,3,27,2,1,4,1,1,1,3,1,94
"1425",31,230,5,30,3,2,2,1,1,2,2,1,154
"1857",202,4220,1,28,3,3,4,5,3,6,6,1,26
"1502",21,4081,3,28,2,2,3,1,1,7,4,2,143
"1157",26,3748,4,28,3,2,1,5,2,4,7,2,101
"733",112,3706,5,33,2,3,2,1,3,2,2,1,7
"851",25,3774,5,27,4,1,4,5,2,3,4,1,94
"605",25,3642,4,27,1,2,3,5,1,4,3,1,94
"1981",157,4273,4,27,3,2,4,1,2,2,2,1,34
"1325",31,2248,4,30,2,2,1,1,1,2,2,1,154
"2233",31,3681,4,30,4,3,2,1,1,2,2,1,154
"673",27,201,4,25,4,2,4,5,2,7,7,3,34
"1202",31,3693,3,30,3,2,1,1,2,7,7,1,154
"1355",55,4006,3,28,2,1,2,1,2,6,7,2,275
"1591",191,3769,4,20,3,2,3,3,1,7,7,2,8
"1034",143,3649,5,24,3,2,3,3,2,7,7,2,10
"2126",127,4320,4,31,4,1,1,2,7,1,7,2,31
"254",31,138,4,30,2,2,3,2,1,3,3,1,154
"287",48,197,5,28,4,1,3,5,3,2,2,1,60
"1073",21,3825,5,28,3,2,4,1,2,2,2,1,143
"1843",241,4160,2,20,3,2,3,3,2,7,7,2,20
"1286",48,3974,5,28,4,2,1,1,1,1,7,1,60
"1511",15,4085,4,30,2,1,3,1,1,2,2,1,168
"1586",191,4117,5,20,3,1,3,5,6,4,2,1,8
"704",25,180,3,27,2,3,4,5,1,2,3,1,94
"273",27,186,5,25,4,1,3,2,1,2,2,1,34
"750",21,3696,5,28,3,1,4,5,2,7,4,2,143
"1850",50,4218,4,26,3,1,4,5,1,4,1,2,102
"775",60,166,5,28,2,2,4,5,1,2,2,1,26
"809",55,3753,5,28,4,1,4,5,1,4,4,2,275
"2083",55,4081,4,28,4,2,1,5,1,4,7,2,275
"430",96,3537,4,15,2,2,2,3,1,2,2,2,30
"1007",25,3850,5,27,1,2,4,1,1,3,1,1,94
"1858",202,4221,5,28,3,3,4,5,3,2,2,1,26
"1514",61,4087,5,28,3,1,3,5,2,2,2,1,83
"158",55,124,3,28,1,2,4,5,2,7,4,2,275
"448",55,3549,5,28,1,1,3,5,2,2,2,2,275
"1678",193,4107,5,22,4,1,3,5,2,7,7,1,66
"2215",75,2251,5,63,3,2,1,5,1,1,7,1,64
"1873",55,4225,2,28,2,2,4,5,2,7,7,2,275
"2160",264,70,4,20,2,2,3,1,1,7,2,1,19
"447",55,3548,5,28,1,1,3,1,2,2,2,2,275
"1080",27,3751,2,25,4,2,4,1,2,7,7,2,34
"1471",125,4066,4,23,4,1,2,1,2,2,2,1,65
"1965",31,4264,4,30,3,2,4,1,1,2,3,2,154
"612",55,3649,5,28,4,2,3,5,2,2,4,2,275
"184",59,136,1,27,3,1,1,5,1,7,7,2,17
"1469",26,3797,4,28,3,1,2,1,2,7,7,2,101
"2014",253,4130,5,19,3,2,3,3,2,2,4,1,26
"137",54,108,2,27,4,2,3,2,1,2,4,1,32
"2196",193,4303,5,22,4,1,1,2,2,7,7,2,66
"1978",21,4271,3,28,4,1,4,1,2,2,6,1,143
"1531",55,3979,3,28,4,2,3,5,2,2,7,2,275
"298",75,208,3,63,3,2,3,5,1,2,5,1,64
"1075",25,3787,4,27,2,2,4,5,2,2,1,2,94
"70",42,56,1,28,4,1,2,1,2,7,6,1,36
"315",35,220,5,30,3,1,3,2,1,2,2,2,95
"929",25,3726,5,27,3,2,4,4,3,3,3,2,94
"2235",15,4350,3,30,2,2,2,1,2,7,7,2,168
"1853",202,89,4,28,2,2,4,5,1,2,7,2,26
"912",55,162,5,28,2,1,4,1,1,2,4,2,275
"1086",125,201,4,23,4,2,4,2,2,1,1,3,65
"820",79,3713,5,29,3,1,4,2,2,4,4,1,6
"1057",55,3510,4,28,1,1,4,5,1,4,7,2,275
"1963",61,4259,4,28,3,2,4,5,2,7,2,1,83
"2028",253,4066,5,19,3,2,3,3,2,2,2,1,26
"1095",141,3882,4,23,3,1,1,2,1,2,3,1,6
"460",89,3553,4,28,3,1,3,2,2,4,2,1,16
"1820",15,4199,5,30,3,1,4,1,2,7,7,1,168
"529",28,38,4,26,3,1,3,5,1,4,2,1,37
"1939",127,4255,5,31,3,1,4,1,1,2,2,2,31
"1574",75,4110,4,63,2,2,3,1,1,2,4,1,64
"2251",33,4151,3,26,3,2,1,1,3,2,7,2,86
"707",25,3687,2,27,2,1,4,5,1,7,2,1,94
"348",43,241,5,25,3,3,3,5,1,4,7,1,28
"1156",26,3915,3,28,3,1,1,5,2,7,7,2,101
"2050",127,4217,5,31,3,1,1,1,1,1,7,1,31
"3",21,6,4,28,4,2,2,1,2,2,2,1,143
"2148",55,4321,2,28,4,2,1,5,1,7,7,2,275
"1914",61,4244,4,28,3,1,4,4,2,2,2,1,83
"1841",127,4147,3,31,3,2,3,4,1,7,7,2,31
"1732",31,108,3,30,3,2,4,2,1,2,2,2,154
"431",96,3538,3,15,2,2,2,3,1,2,2,2,30
"25",35,25,4,30,3,2,2,1,5,2,2,1,95
"1384",15,3992,5,30,2,1,2,1,2,2,2,1,168
"228",61,163,2,28,3,1,2,1,1,7,2,1,83
"1193",60,3545,4,28,4,1,1,1,1,2,2,2,26
"1664",26,4138,4,28,3,2,3,5,2,7,7,2,101
"1447",15,4056,5,30,3,1,2,2,1,2,2,1,168
"1517",125,4087,5,23,3,1,3,2,2,2,2,1,65
"2287",55,4045,3,28,4,2,2,1,2,7,7,2,275
"286",60,86,4,28,2,1,3,2,3,2,2,2,26
"1137",27,3906,4,25,4,1,1,1,2,2,2,1,34
"683",31,3610,5,30,2,2,4,4,1,2,2,1,154
"1523",55,4091,3,28,4,2,3,2,2,7,7,2,275
"731",24,3704,4,26,4,3,4,4,1,1,2,1,25
"5",21,7,3,28,4,2,2,1,2,1,7,1,143
"401",91,38,4,28,3,2,3,5,3,2,2,1,6
"148",35,116,3,30,4,2,3,1,1,2,7,3,95
"2034",253,3980,4,19,3,2,2,1,3,2,2,1,26
"1810",241,2526,3,20,3,1,3,1,1,7,7,2,20
"2023",253,170,5,19,3,2,3,3,3,2,2,1,26
"1809",241,157,2,20,4,1,4,1,1,7,7,2,20
"1768",35,4183,4,30,2,1,4,1,1,4,1,2,95
"1147",25,3768,5,27,3,2,4,1,2,4,2,1,94
"277",55,190,4,28,4,1,3,2,1,4,4,2,275
"868",54,124,2,27,2,2,4,3,2,7,7,2,32
"1459",26,3909,3,28,3,1,2,1,1,7,7,2,101
"285",60,136,3,28,3,1,3,2,2,7,2,2,26
"965",50,3828,4,26,2,2,4,5,1,7,2,2,102
"2102",33,3635,5,26,4,2,1,2,2,2,2,1,86
"21",33,6,4,26,3,2,2,1,2,2,2,1,86
"1187",35,3926,3,30,3,2,1,1,1,2,2,2,95
"1385",15,4019,2,30,3,1,2,1,2,7,7,2,168
"120",21,58,3,28,3,1,3,5,1,1,3,2,143
"1519",60,61,3,28,3,2,3,2,2,7,7,2,26
"1725",26,4166,4,28,3,1,4,5,2,7,7,2,101
"1360",33,4007,4,26,3,2,2,2,2,2,2,1,86
"1827",127,4202,4,31,3,2,4,1,5,7,7,2,31
"225",61,161,5,28,2,1,3,1,1,2,2,1,83
"894",33,3726,3,26,3,1,4,5,2,6,6,2,86
"1562",15,2725,2,30,2,1,3,3,1,7,7,2,168
"1297",48,3978,4,28,4,1,1,1,1,7,7,1,60
"924",61,3805,3,28,3,1,4,5,2,2,7,1,83
"1356",21,4007,4,28,3,2,2,5,2,2,2,1,143
"1905",202,3559,2,28,4,3,4,1,1,7,7,2,26
"1833",25,4208,3,27,2,2,4,5,2,4,4,1,94
"216",57,67,3,28,4,2,3,5,3,7,2,1,5
"1728",125,4165,5,23,4,3,4,1,1,2,2,1,65
"143",21,113,4,28,3,2,3,1,7,4,7,1,143
"1953",241,6,5,20,3,1,4,1,6,2,2,2,20
"502",42,3510,3,28,4,2,3,2,2,7,7,3,36
"1525",15,248,5,30,3,1,3,2,2,7,7,2,168
"1750",33,4110,3,26,3,2,4,5,2,7,7,1,86
"1260",157,3667,3,27,2,2,1,2,2,7,4,1,34
"2018",253,4291,3,19,3,2,3,3,2,2,2,1,26
"565",35,3620,4,30,3,2,4,5,1,2,2,3,95
"1019",48,42,3,28,3,1,4,1,1,7,7,2,60
"2114",15,4306,1,30,3,3,1,2,2,7,7,2,168
"1236",26,2903,5,28,3,1,1,1,2,2,7,1,101
"1276",35,3968,5,30,3,1,1,1,1,2,2,2,95
"2040",125,2903,5,23,4,2,1,3,2,2,2,1,65
"1185",15,3927,2,30,3,1,1,5,2,7,7,2,168
"736",112,3709,5,33,1,1,2,1,1,2,2,1,7
"1866",61,3983,4,28,2,2,4,4,1,7,2,1,83
"674",28,201,3,26,3,2,4,5,2,7,4,1,37
"375",21,3509,2,28,4,2,3,5,1,7,7,2,143
"2015",253,4131,4,19,3,2,4,3,3,4,2,1,26
"372",55,172,5,28,2,1,3,1,2,2,4,2,275
"516",89,201,4,28,2,1,3,2,1,7,5,3,16
"865",125,3610,5,23,4,2,4,5,2,2,2,1,65
"1837",25,3990,4,27,1,2,3,1,1,2,2,1,94
"364",25,253,3,27,2,3,3,1,2,4,6,1,94
"352",86,220,5,22,3,1,3,5,1,7,7,2,8
"1191",48,3687,4,28,4,1,1,1,1,2,7,1,60
"414",96,192,5,15,2,1,4,4,1,7,2,1,30
"1849",202,4217,4,28,2,2,4,5,1,4,4,2,26
"463",55,3555,4,28,2,1,3,1,1,2,2,2,275
"546",54,47,4,27,2,2,4,5,2,7,4,1,32
"1784",55,4147,3,28,2,1,4,1,1,2,7,2,275
"1107",48,3890,5,28,4,1,1,1,1,4,1,2,60
"715",54,3697,4,27,3,2,4,5,2,4,4,1,32
"718",55,3700,5,28,2,1,4,5,2,4,4,2,275
"1618",193,4071,2,22,3,1,3,1,2,7,7,2,66
"75",42,61,1,28,4,1,2,2,2,5,6,2,36
"2096",21,3898,4,28,3,2,3,3,2,4,4,2,143
"1846",202,4076,3,28,4,1,4,1,3,7,7,1,26
"2209",75,4336,4,63,2,1,1,1,1,5,1,1,64
"2132",15,3646,4,30,3,2,3,3,2,4,4,2,168
"2167",264,4016,5,20,4,1,1,3,1,1,1,2,19
"2266",50,2909,4,26,3,1,2,5,1,2,7,1,102
"1546",31,4102,3,30,2,2,3,5,1,7,7,1,154
"303",35,61,2,30,2,2,3,1,1,7,6,1,95
"418",96,2592,5,15,2,3,1,1,1,2,2,1,30
"985",31,3839,3,30,3,2,4,4,6,1,1,1,154
"1797",21,85,5,28,3,1,3,1,1,2,4,1,143
"2115",31,4003,3,30,3,2,1,2,1,1,1,2,154
"527",55,3601,4,28,2,1,3,5,1,1,4,2,275
"1441",61,4053,4,28,3,2,2,2,2,2,7,1,83
"36",28,35,4,26,3,2,2,1,2,7,2,2,37
"2199",15,4219,5,30,3,2,1,1,2,7,7,2,168
"949",28,3649,4,26,3,1,4,5,2,2,2,1,37
"1230",31,3948,3,30,3,1,1,1,3,6,5,3,154
"1283",31,3644,5,30,2,2,1,2,1,2,5,1,154
"678",25,98,3,27,2,3,4,2,2,2,1,1,94
"163",57,127,2,28,4,2,3,5,3,7,7,2,5
"2219",75,4315,4,63,2,2,1,1,1,2,3,1,64
"1611",193,3869,5,22,1,1,3,1,1,7,7,2,66
"1020",50,3855,2,26,3,2,4,1,1,7,2,2,102
"455",55,196,5,28,1,2,3,1,1,2,7,2,275
"511",23,3592,4,33,3,2,3,2,3,7,7,1,7
"2061",61,4255,4,28,3,3,1,1,2,7,7,1,83
"2254",157,4362,4,27,3,1,2,1,1,7,3,2,34
"762",50,3724,4,26,2,3,4,5,2,2,4,1,102
"144",31,113,3,30,3,2,3,1,7,6,3,1,154
"642",26,39,3,28,2,2,3,2,1,7,7,1,101
"961",33,3826,5,26,4,2,4,1,1,7,7,1,86
"878",43,3786,5,25,3,1,4,5,2,1,1,1,28
"1826",55,175,3,28,3,2,4,1,2,7,4,2,275
"1671",196,164,4,28,4,2,3,3,2,2,4,1,9
"308",61,213,3,28,3,2,3,5,2,7,7,1,83
"1421",21,4045,5,28,3,3,2,1,1,5,7,1,143
"915",25,3777,2,27,2,1,4,1,1,2,2,1,94
"1887",244,4233,3,28,2,1,4,5,1,7,7,2,5
"746",35,3715,1,30,3,1,4,5,1,5,6,1,95
"2211",75,4337,5,63,3,1,1,5,1,2,3,1,64
"836",21,3766,4,28,4,2,4,1,1,2,2,1,143
"1647",196,4134,2,28,3,3,1,1,1,7,7,2,9
"845",79,3726,5,29,3,1,4,1,2,4,3,2,6
"1804",241,2759,5,20,3,1,4,1,1,7,7,2,20
"1864",21,4036,3,28,2,2,4,1,1,7,5,2,143
"73",42,18,4,28,3,2,2,1,2,2,2,1,36
"1884",202,2464,5,28,2,2,4,3,7,2,7,1,26
"969",55,3831,5,28,2,1,4,5,1,4,2,2,275
"1264",55,3869,3,28,2,1,1,2,2,7,7,2,275
"1426",31,3646,5,30,3,2,1,1,1,2,2,1,154
"1186",15,86,5,30,3,1,1,1,2,2,2,1,168
"2177",15,2343,5,30,1,2,1,1,2,7,7,2,168
"852",25,3743,2,27,2,2,4,5,2,2,2,1,94
"327",35,227,2,30,4,1,3,5,1,7,6,2,95
"1990",31,4279,3,30,2,2,4,1,1,2,7,1,154
"1253",25,3849,4,27,2,2,1,1,1,2,2,1,94
"759",50,3723,3,26,2,3,4,5,2,7,5,2,102
"1532",55,4094,3,28,4,2,3,5,2,4,7,2,275
"241",28,143,3,26,3,2,3,5,2,2,2,1,37
"56",25,9,4,27,4,1,2,2,1,1,1,1,94
"559",54,67,3,27,3,1,4,5,1,7,7,2,32
"2029",253,4070,4,19,3,2,3,3,2,7,7,1,26
"1082",48,3873,5,28,4,2,4,2,1,7,7,2,60
"641",26,212,3,28,4,3,2,1,1,7,7,1,101
"138",54,109,4,27,3,1,3,2,1,2,7,1,32
"1323",127,3899,3,31,3,1,1,2,7,7,7,2,31
"514",55,3593,4,28,3,2,3,2,2,7,4,2,275
"577",55,3598,5,28,1,1,3,5,1,2,4,2,275
"313",55,217,5,28,3,2,3,1,2,6,6,2,275
"1925",50,3025,4,26,4,2,4,1,2,4,6,3,102
"1778",193,2347,4,22,4,2,3,2,1,7,7,2,66
"215",21,142,3,28,3,2,3,5,1,7,5,2,143
"2180",59,4327,1,27,3,2,1,1,1,7,7,1,17
"588",55,3631,3,28,2,1,3,5,1,4,7,2,275
"1025",55,3726,4,28,4,3,4,1,1,4,4,2,275
"1462",31,3625,5,30,3,1,2,1,1,2,2,1,154
"2201",193,4332,4,22,3,1,1,1,2,7,7,2,66
"206",25,148,4,27,3,2,3,1,2,4,4,1,94
"1490",50,2755,4,26,3,1,3,1,1,2,2,2,102
"2082",21,4311,3,28,3,1,1,5,1,7,5,1,143
"388",31,3518,4,30,3,2,3,5,1,2,2,1,154
"583",54,166,4,27,3,1,3,1,2,7,2,2,32
"2128",31,44,4,30,3,2,1,1,1,2,4,1,154
"1522",48,4081,5,28,3,1,3,5,3,7,7,1,60
